"first_name","last_name","email","address","address2","city","postal_code","country","customer_is_active","total_revenue_from_customer"
"Gertrude","Castillo","gertrude.castillo@sakilacustomer.org","850 Salala Loop","","Nuuk","10800","Greenland","Yes","119.72"
"Gilbert","Sledge","gilbert.sledge@sakilacustomer.org","1515 Korla Way","","York","57197","United Kingdom","Yes","121.73"
"Gina","Williamson","gina.williamson@sakilacustomer.org","1001 Miyakonojo Lane","","Taizz","67924","Yemen","Yes","110.73"
"Gladys","Hamilton","gladys.hamilton@sakilacustomer.org","1177 Jelets Way","","Ilorin","3305","Nigeria","Yes","128.71"
"Glen","Talbert","glen.talbert@sakilacustomer.org","1789 Saint-Denis Parkway","","Acua","8268","Mexico","Yes","100.77"
"Glenda","Frazier","glenda.frazier@sakilacustomer.org","1246 Boksburg Parkway","","Qinhuangdao","28349","China","Yes","128.71"
"Glenn","Pullen","glenn.pullen@sakilacustomer.org","992 Klerksdorp Loop","","Amersfoort","33711","Netherlands","Yes","88.78"
"Gloria","Cook","gloria.cook@sakilacustomer.org","1668 Saint Louis Place","","Papeete","39072","French Polynesia","Yes","115.74"
"Gordon","Allard","gordon.allard@sakilacustomer.org","434 Ourense (Orense) Manor","","Hodeida","14122","Yemen","Yes","157.69"
"Grace","Ellis","grace.ellis@sakilacustomer.org","442 Rae Bareli Place","","Duisburg","24321","Germany","Yes","126.70"
"Greg","Robins","greg.robins@sakilacustomer.org","1786 Salinas Place","","Nam Dinh","66546","Vietnam","Yes","131.74"
"Gregory","Mauldin","gregory.mauldin@sakilacustomer.org","507 Smolensk Loop","","Sousse","22971","Tunisia","Yes","73.78"
"Guy","Brownlee","guy.brownlee@sakilacustomer.org","346 Cam Ranh Avenue","","Zhoushan","39976","China","Yes","151.69"
"Gwendolyn","May","gwendolyn.may@sakilacustomer.org","446 Kirovo-Tepetsk Lane","","Higashiosaka","19428","Japan","Yes","98.75"
"Harold","Martino","harold.martino@sakilacustomer.org","1293 Nam Dinh Way","","Boa Vista","71583","Brazil","Yes","130.68"
"Harry","Arce","harry.arce@sakilacustomer.org","1922 Miraj Way","","Najafabad","13203","Iran","No","139.69"
"Harvey","Guajardo","harvey.guajardo@sakilacustomer.org","600 Purnea (Purnia) Avenue","","Vinh","18043","Vietnam","Yes","87.80"
"Hazel","Warren","hazel.warren@sakilacustomer.org","1587 Sullana Lane","","Hohhot","85769","China","Yes","106.68"
"Heather","Morris","heather.morris@sakilacustomer.org","17 Kabul Boulevard","","Nagareyama","38594","Japan","Yes","88.76"
"Hector","Poindexter","hector.poindexter@sakilacustomer.org","185 Mannheim Lane","","Pjatigorsk","23661","Russian Federation","Yes","119.74"
"Heidi","Larson","heidi.larson@sakilacustomer.org","1103 Bilbays Parkway","","Xiangfan","87660","China","No","110.68"
"Helen","Harris","helen.harris@sakilacustomer.org","419 Iligan Lane","","Bhopal","72878","India","Yes","134.68"
"Henry","Billingsley","henry.billingsley@sakilacustomer.org","1516 Escobar Drive","","Nukualofa","46069","Tonga","Yes","64.84"
"Herbert","Kruger","herbert.kruger@sakilacustomer.org","1823 Hoshiarpur Lane","","Syktyvkar","33191","Russian Federation","Yes","73.81"
"Herman","Devore","herman.devore@sakilacustomer.org","64 Korla Street","","Mwanza","25145","Tanzania","Yes","109.72"
"Hilda","Hopkins","hilda.hopkins@sakilacustomer.org","1831 Nam Dinh Loop","","Mandaluyong","51990","Philippines","Yes","116.73"
"Holly","Fox","holly.fox@sakilacustomer.org","435 0 Way","","Haldia","74750","India","Yes","111.71"
"Howard","Fortner","howard.fortner@sakilacustomer.org","220 Hidalgo Drive","","Kermanshah","45298","Iran","Yes","93.74"
"Hugh","Waldrop","hugh.waldrop@sakilacustomer.org","904 Clarksville Drive","","Haining","52234","China","Yes","89.80"
"Ian","Still","ian.still@sakilacustomer.org","1894 Boa Vista Way","","Garland","77464","United States","Yes","86.75"
"Ida","Andrews","ida.andrews@sakilacustomer.org","1839 Szkesfehrvr Parkway","","Luzinia","55709","Brazil","Yes","75.78"
"Irene","Price","irene.price@sakilacustomer.org","602 Paarl Street","","Pavlodar","98889","Kazakstan","Yes","74.79"
"Irma","Pearson","irma.pearson@sakilacustomer.org","127 Iwakuni Boulevard","","Hagonoy","20777","Philippines","Yes","70.82"
"Isaac","Oglesby","isaac.oglesby@sakilacustomer.org","186 Skikda Lane","","Cuernavaca","89422","Mexico","Yes","109.76"
"Ivan","Cromwell","ivan.cromwell@sakilacustomer.org","1351 Sousse Lane","","Monclova","37815","Mexico","Yes","91.75"
"Jack","Foust","jack.foust@sakilacustomer.org","1378 Beira Loop","","Zeleznogorsk","40792","Russian Federation","Yes","87.77"
"Jackie","Lynch","jackie.lynch@sakilacustomer.org","98 Stara Zagora Boulevard","","Buenaventura","76448","Colombia","Yes","89.77"
"Jacob","Lance","jacob.lance@sakilacustomer.org","1866 al-Qatif Avenue","","El Monte","89420","United States","Yes","74.80"
"Jacqueline","Long","jacqueline.long@sakilacustomer.org","870 Ashqelon Loop","","Songkhla","84931","Thailand","Yes","146.68"
"Jaime","Nettles","jaime.nettles@sakilacustomer.org","1746 Faaa Way","","Hunuco","32515","Peru","Yes","118.73"
"James","Gannon","james.gannon@sakilacustomer.org","1635 Kuwana Boulevard","","Hiroshima","52137","Japan","Yes","84.79"
"Jamie","Rice","jamie.rice@sakilacustomer.org","879 Newcastle Way","","Sterling Heights","90732","United States","Yes","126.73"
"Jamie","Waugh","jamie.waugh@sakilacustomer.org","958 Sagamihara Lane","","Kuwana","88408","Japan","Yes","110.77"
"Jane","Bennett","jane.bennett@sakilacustomer.org","1692 Ede Loop","","Araatuba","9223","Brazil","Yes","85.77"
"Janet","Phillips","janet.phillips@sakilacustomer.org","1718 Valencia Street","","Antofagasta","37359","Chile","Yes","124.74"
"Janice","Ward","janice.ward@sakilacustomer.org","1150 Kimchon Manor","","Malm","96109","Sweden","Yes","139.67"
"Jared","Ely","jared.ely@sakilacustomer.org","1003 Qinhuangdao Street","","Purwakarta","25972","Indonesia","Yes","81.83"
"Jason","Morrissey","jason.morrissey@sakilacustomer.org","1427 A Corua (La Corua) Place","","Baha Blanca","85799","Argentina","Yes","81.81"
"Javier","Elrod","javier.elrod@sakilacustomer.org","195 Ilorin Street","","NDjamna","49250","Chad","Yes","122.72"
"Jay","Robb","jay.robb@sakilacustomer.org","1947 Paarl Way","","Surakarta","23636","Indonesia","Yes","85.75"
"Jean","Bell","jean.bell@sakilacustomer.org","1114 Liepaja Street","","Kuching","69226","Malaysia","Yes","105.76"
"Jeanette","Greene","jeanette.greene@sakilacustomer.org","1077 San Felipe de Puerto Plata Place","","Novoterkassk","65387","Russian Federation","Yes","66.82"
"Jeanne","Lawson","jeanne.lawson@sakilacustomer.org","387 Mwene-Ditu Drive","","Ashgabat","8073","Turkmenistan","Yes","126.74"
"Jeff","East","jeff.east@sakilacustomer.org","437 Chungho Drive","","San Felipe de Puerto Plata","59489","Dominican Republic","Yes","107.70"
"Jeffery","Pinson","jeffery.pinson@sakilacustomer.org","966 Arecibo Loop","","Dadu","94018","Pakistan","Yes","113.72"
"Jeffrey","Spear","jeffrey.spear@sakilacustomer.org","1860 Taguig Loop","","Ciparay","59550","Indonesia","Yes","65.83"
"Jennie","Terry","jennie.terry@sakilacustomer.org","682 Halisahar Place","","Olomouc","20536","Czech Republic","Yes","132.72"
"Jennifer","Davis","jennifer.davis@sakilacustomer.org","1795 Santiago de Compostela Way","","Laredo","18743","United States","Yes","84.75"
"Jenny","Castro","jenny.castro@sakilacustomer.org","1405 Chisinau Place","","Ponce","8160","Puerto Rico","Yes","79.80"
"Jeremy","Hurtado","jeremy.hurtado@sakilacustomer.org","1133 Rizhao Avenue","","Vitria de Santo Anto","2800","Brazil","Yes","98.75"
"Jerome","Kenyon","jerome.kenyon@sakilacustomer.org","1872 Toulon Loop","","Rancagua","7939","Chile","Yes","67.86"
"Jerry","Jordon","jerry.jordon@sakilacustomer.org","124 al-Manama Way","","Onomichi","52368","Japan","Yes","111.76"
"Jesse","Schilling","jesse.schilling@sakilacustomer.org","514 Ife Way","","Lubumbashi","69973","Congo, The Democratic Republic of the","Yes","79.78"
"Jessica","Hall","jessica.hall@sakilacustomer.org","18 Duisburg Boulevard","","Citt del Vaticano","58327","Holy See (Vatican City State)","Yes","146.68"
"Jessie","Banks","jessie.banks@sakilacustomer.org","1229 Valencia Parkway","","Stara Zagora","99124","Bulgaria","Yes","81.76"
"Jessie","Milam","jessie.milam@sakilacustomer.org","1332 Gaziantep Lane","","Binzhou","22813","China","Yes","132.70"
"Jesus","Mccartney","jesus.mccartney@sakilacustomer.org","259 Ipoh Drive","","Guaruj","64964","Brazil","Yes","107.77"
"Jill","Hawkins","jill.hawkins@sakilacustomer.org","1440 Compton Place","","Linz","81037","Austria","Yes","58.83"
"Jim","Rea","jim.rea@sakilacustomer.org","814 Simferopol Loop","","El Fuerte","48745","Mexico","Yes","121.70"
"Jimmie","Eggleston","jimmie.eggleston@sakilacustomer.org","505 Madiun Boulevard","","Wroclaw","97271","Poland","No","135.72"
"Jimmy","Schrader","jimmy.schrader@sakilacustomer.org","616 Hagonoy Avenue","","Atinsk","46043","Russian Federation","Yes","104.72"
"Jo","Fowler","jo.fowler@sakilacustomer.org","786 Stara Zagora Way","","Oyo","98332","Nigeria","Yes","54.85"
"Joan","Cooper","joan.cooper@sakilacustomer.org","1717 Guadalajara Lane","","Saint Louis","85505","United States","Yes","78.79"
"Joann","Gardner","joann.gardner@sakilacustomer.org","842 Salzburg Lane","","Tarsus","3313","Turkey","Yes","64.85"
"Joanne","Robertson","joanne.robertson@sakilacustomer.org","1337 Lincoln Parkway","","Urawa","99457","Japan","Yes","125.68"
"Joe","Gilliland","joe.gilliland@sakilacustomer.org","953 Hodeida Street","","Imus","18841","Philippines","Yes","133.72"
"Joel","Francisco","joel.francisco@sakilacustomer.org","287 Cuautla Boulevard","","Sucre","72736","Bolivia","Yes","92.78"
"John","Farnsworth","john.farnsworth@sakilacustomer.org","41 El Alto Parkway","","Parbhani","56883","India","Yes","123.74"
"Johnnie","Chisholm","johnnie.chisholm@sakilacustomer.org","1501 Pangkal Pinang Avenue","","Plock","943","Poland","Yes","107.78"
"Johnny","Turpin","johnny.turpin@sakilacustomer.org","1152 Citrus Heights Manor","","al-Qadarif","5239","Sudan","Yes","57.81"
"Jon","Wiles","jon.wiles@sakilacustomer.org","659 Gatineau Boulevard","","El Alto","28587","Bolivia","Yes","85.78"
"Jonathan","Scarborough","jonathan.scarborough@sakilacustomer.org","1698 Southport Loop","","Pachuca de Soto","49009","Mexico","Yes","65.83"
"Jordan","Archuleta","jordan.archuleta@sakilacustomer.org","1229 Varanasi (Benares) Manor","","Avellaneda","40195","Argentina","Yes","129.71"
"Jorge","Olivares","jorge.olivares@sakilacustomer.org","1078 Stara Zagora Drive","","Lhokseumawe","69221","Indonesia","Yes","122.69"
"Jose","Andrew","jose.andrew@sakilacustomer.org","1016 Iwakuni Street","","Kingstown","49833","Saint Vincent and the Grenadines","Yes","64.82"
"Joseph","Joy","joseph.joy@sakilacustomer.org","1354 Siegen Street","","Angra dos Reis","80184","Brazil","Yes","92.80"
"Josephine","Gomez","josephine.gomez@sakilacustomer.org","211 Chiayi Drive","","Etawah","58186","India","Yes","104.75"
"Joshua","Mark","joshua.mark@sakilacustomer.org","1920 Weifang Avenue","","Rampur","15643","India","Yes","93.78"
"Joy","George","joy.george@sakilacustomer.org","1256 Bislig Boulevard","","Botosani","50598","Romania","Yes","118.69"
"Joyce","Edwards","joyce.edwards@sakilacustomer.org","725 Isesaki Place","","Jedda","74428","Saudi Arabia","Yes","116.76"
"Juan","Fraley","juan.fraley@sakilacustomer.org","469 Nakhon Sawan Street","","Teboksary","58866","Russian Federation","Yes","63.79"
"Juanita","Mason","juanita.mason@sakilacustomer.org","943 Johannesburg Avenue","","Pune","5892","India","Yes","100.72"
"Judith","Cox","judith.cox@sakilacustomer.org","1966 Amroha Avenue","","Daxian","70385","China","No","91.70"
"Judy","Gray","judy.gray@sakilacustomer.org","1031 Daugavpils Parkway","","Bchar","59025","Algeria","Yes","89.77"
"Julia","Flores","julia.flores@sakilacustomer.org","1926 El Alto Avenue","","La Plata","75543","Argentina","Yes","124.71"
"Julian","Vest","julian.vest@sakilacustomer.org","923 Tangail Boulevard","","Akishima","33384","Japan","Yes","108.73"
"Julie","Sanchez","julie.sanchez@sakilacustomer.org","939 Probolinggo Loop","","A Corua (La Corua)","4166","Spain","Yes","106.72"
"Julio","Noland","julio.noland@sakilacustomer.org","182 Nukualofa Drive","","Konotop","15414","Ukraine","Yes","84.81"
"June","Carroll","june.carroll@sakilacustomer.org","757 Rustenburg Avenue","","Skikda","89668","Algeria","Yes","151.68"
"Justin","Ngo","justin.ngo@sakilacustomer.org","519 Nyeri Manor","","Santo Andr","37650","Brazil","Yes","125.67"
"Karen","Jackson","karen.jackson@sakilacustomer.org","270 Amroha Parkway","","Osmaniye","29610","Turkey","Yes","131.73"
"Karl","Seal","karl.seal@sakilacustomer.org","1427 Tabuk Place","","Cape Coral","31342","United States","Yes","208.58"
"Katherine","Rivera","katherine.rivera@sakilacustomer.org","915 Ponce Place","","Basel","83980","Switzerland","Yes","57.87"
"Kathleen","Adams","kathleen.adams@sakilacustomer.org","334 Munger (Monghyr) Lane","","Arak","38145","Iran","Yes","90.75"
"Kathryn","Coleman","kathryn.coleman@sakilacustomer.org","927 Baha Blanca Parkway","","Simferopol","9495","Ukraine","Yes","118.76"
"Kathy","James","kathy.james@sakilacustomer.org","492 Cam Ranh Street","","Baybay","50805","Philippines","Yes","116.72"
"Katie","Elliott","katie.elliott@sakilacustomer.org","447 Surakarta Loop","","Kisumu","10428","Kenya","Yes","105.77"
"Kay","Caldwell","kay.caldwell@sakilacustomer.org","85 San Felipe de Puerto Plata Drive","","Yantai","46063","China","Yes","65.87"
"Keith","Rico","keith.rico@sakilacustomer.org","482 Kowloon and New Kowloon Manor","","Bratislava","97056","Slovakia","Yes","80.77"
"Kelly","Knott","kelly.knott@sakilacustomer.org","390 Wroclaw Way","","Sanya","5753","China","Yes","94.76"
"Kelly","Torres","kelly.torres@sakilacustomer.org","1586 Guaruj Place","","Xiangtan","5135","China","Yes","86.80"
"Ken","Prewitt","ken.prewitt@sakilacustomer.org","1342 Abha Boulevard","","Bucuresti","10714","Romania","Yes","99.73"
"Kenneth","Gooden","kenneth.gooden@sakilacustomer.org","1542 Lubumbashi Boulevard","","Bat Yam","62472","Israel","No","67.86"
"Kent","Arsenault","kent.arsenault@sakilacustomer.org","32 Liaocheng Way","","Juiz de Fora","1944","Brazil","Yes","134.73"
"Kevin","Schuler","kevin.schuler@sakilacustomer.org","470 Boksburg Street","","Birgunj","97960","Nepal","Yes","93.83"
"Kim","Cruz","kim.cruz@sakilacustomer.org","333 Goinia Way","","Grand Prairie","78625","United States","Yes","76.80"
"Kimberly","Lee","kimberly.lee@sakilacustomer.org","96 Tafuna Way","","Crdoba","99865","Argentina","Yes","85.77"
"Kirk","Stclair","kirk.stclair@sakilacustomer.org","1923 Stara Zagora Lane","","Tsaotun","95179","Taiwan","Yes","50.83"
"Kristen","Chavez","kristen.chavez@sakilacustomer.org","345 Oshawa Boulevard","","Hino","32114","Japan","Yes","74.84"
"Kristin","Johnston","kristin.johnston@sakilacustomer.org","226 Brest Manor","","Sunnyvale","2299","United States","Yes","103.74"
"Kristina","Chambers","kristina.chambers@sakilacustomer.org","544 Tarsus Boulevard","","Valle de la Pascua","53145","Venezuela","Yes","80.78"
"Kurt","Emmons","kurt.emmons@sakilacustomer.org","1421 Quilmes Lane","","Kanazawa","19151","Japan","Yes","87.80"
"Kyle","Spurlock","kyle.spurlock@sakilacustomer.org","1269 Botosani Manor","","Shanwei","47394","China","Yes","109.71"
"Lance","Pemberton","lance.pemberton@sakilacustomer.org","454 Qinhuangdao Drive","","Beni-Mellal","25866","Morocco","Yes","73.80"
"Larry","Thrasher","larry.thrasher@sakilacustomer.org","663 Baha Blanca Parkway","","Adana","33463","Turkey","Yes","74.81"
"Laura","Rodriguez","laura.rodriguez@sakilacustomer.org","28 Charlotte Amalie Street","","Sal","37551","Morocco","Yes","94.81"
"Lauren","Hudson","lauren.hudson@sakilacustomer.org","1740 Le Mans Loop","","Le Mans","22853","France","Yes","59.83"
"Laurie","Lawrence","laurie.lawrence@sakilacustomer.org","9 San Miguel de Tucumn Manor","","Firozabad","90845","India","Yes","97.78"
"Lawrence","Lawton","lawrence.lawton@sakilacustomer.org","114 Jalib al-Shuyukh Manor","","Yaound","60440","Cameroon","Yes","89.71"
"Leah","Curtis","leah.curtis@sakilacustomer.org","906 Goinia Way","","Kalisz","83565","Poland","Yes","75.81"
"Lee","Hawks","lee.hawks@sakilacustomer.org","1661 Abha Drive","","Pudukkottai","14400","India","Yes","117.75"
"Lena","Jensen","lena.jensen@sakilacustomer.org","1027 Banjul Place","","Halisahar","50390","India","Yes","154.70"
"Leo","Ebert","leo.ebert@sakilacustomer.org","1322 Mosul Parkway","","Dongying","95400","China","Yes","101.78"
"Leon","Bostic","leon.bostic@sakilacustomer.org","734 Tanshui Avenue","","Florencia","70664","Colombia","Yes","97.79"
"Leona","Obrien","leona.obrien@sakilacustomer.org","1308 Sumy Loop","","Fuzhou","30657","China","Yes","32.90"
"Leonard","Schofield","leonard.schofield@sakilacustomer.org","88 Nagaon Manor","","Tandil","86868","Argentina","Yes","101.70"
"Leroy","Bustamante","leroy.bustamante@sakilacustomer.org","105 Dzerzinsk Manor","","Tongliao","48570","China","Yes","104.71"
"Leslie","Gordon","leslie.gordon@sakilacustomer.org","374 Bat Yam Boulevard","","Kilis","97700","Turkey","Yes","83.80"
"Leslie","Seward","leslie.seward@sakilacustomer.org","1152 al-Qatif Lane","","Pontianak","44816","Indonesia","Yes","123.72"
"Lester","Kraus","lester.kraus@sakilacustomer.org","1013 Tabuk Boulevard","","Kanchrapara","96203","India","Yes","62.85"
"Lewis","Lyman","lewis.lyman@sakilacustomer.org","632 Usolje-Sibirskoje Parkway","","Ashqelon","73085","Israel","Yes","86.81"
"Lillian","Griffin","lillian.griffin@sakilacustomer.org","669 Firozabad Loop","","al-Ayn","92265","United Arab Emirates","Yes","102.76"
"Lillie","Kim","lillie.kim@sakilacustomer.org","1736 Cavite Place","","Idfu","98775","Egypt","Yes","89.77"
"Linda","Williams","linda.williams@sakilacustomer.org","692 Joliet Street","","Athenai","83579","Greece","Yes","130.76"
"Lisa","Anderson","lisa.anderson@sakilacustomer.org","1542 Tarlac Parkway","","Sagamihara","1027","Japan","Yes","99.77"
"Lloyd","Dowd","lloyd.dowd@sakilacustomer.org","935 Aden Boulevard","","Tegal","64709","Indonesia","Yes","66.81"
"Lois","Butler","lois.butler@sakilacustomer.org","1370 Le Mans Avenue","","Bandar Seri Begawan","52163","Brunei","Yes","107.66"
"Lonnie","Tirado","lonnie.tirado@sakilacustomer.org","1658 Cuman Loop","","Pangkal Pinang","51309","Indonesia","Yes","84.84"
"Loretta","Carpenter","loretta.carpenter@sakilacustomer.org","891 Novi Sad Manor","","Oshawa","5379","Canada","Yes","87.79"
"Lori","Wood","lori.wood@sakilacustomer.org","936 Salzburg Lane","","Rae Bareli","96709","India","Yes","141.69"
"Lorraine","Stephens","lorraine.stephens@sakilacustomer.org","154 Tallahassee Loop","","Hami","62250","China","Yes","81.80"
"Louis","Leone","louis.leone@sakilacustomer.org","1191 Tandil Drive","","Tanauan","6362","Philippines","Yes","156.66"
"Louise","Jenkins","louise.jenkins@sakilacustomer.org","929 Tallahassee Loop","","Springs","74671","South Africa","Yes","96.78"
"Lucille","Holmes","lucille.holmes@sakilacustomer.org","999 Sanaa Loop","","Soshanguve","3439","South Africa","Yes","107.73"
"Lucy","Wheeler","lucy.wheeler@sakilacustomer.org","624 Oshawa Boulevard","","Balurghat","89959","India","Yes","86.75"
"Luis","Yanez","luis.yanez@sakilacustomer.org","1346 Mysore Drive","","Brest","61507","France","Yes","77.81"
"Lydia","Burke","lydia.burke@sakilacustomer.org","1483 Pathankot Street","","San Miguel de Tucumn","37288","Argentina","Yes","77.77"
"Lynn","Payne","lynn.payne@sakilacustomer.org","710 San Felipe del Progreso Avenue","","Lilongwe","76901","Malawi","Yes","121.73"
"Mabel","Holland","mabel.holland@sakilacustomer.org","51 Laredo Avenue","","Monywa","68146","Myanmar","Yes","97.75"
"Mae","Fletcher","mae.fletcher@sakilacustomer.org","44 Najafabad Way","","Donostia-San Sebastin","61391","Spain","Yes","107.79"
"Manuel","Murrell","manuel.murrell@sakilacustomer.org","692 Amroha Drive","","Jaffna","35575","Sri Lanka","Yes","103.73"
"Marc","Outlaw","marc.outlaw@sakilacustomer.org","1 Valle de Santiago Avenue","","Brindisi","86208","Italy","Yes","120.71"
"Marcia","Dean","marcia.dean@sakilacustomer.org","1479 Rustenburg Boulevard","","Tanza","18727","Philippines","Yes","166.61"
"Marcus","Hidalgo","marcus.hidalgo@sakilacustomer.org","1289 Belm Boulevard","","Tartu","88306","Estonia","Yes","105.72"
"Margaret","Moore","margaret.moore@sakilacustomer.org","613 Korolev Drive","","Masqat","45844","Oman","Yes","78.80"
"Margie","Wade","margie.wade@sakilacustomer.org","1762 Paarl Parkway","","Lengshuijiang","53928","China","Yes","142.67"
"Maria","Miller","maria.miller@sakilacustomer.org","900 Santiago de Compostela Parkway","","Kragujevac","93896","Yugoslavia","Yes","130.72"
"Marian","Mendoza","marian.mendoza@sakilacustomer.org","829 Grand Prairie Way","","Maring","6461","Brazil","Yes","76.82"
"Marie","Turner","marie.turner@sakilacustomer.org","1998 Halifax Drive","","Lipetsk","76022","Russian Federation","Yes","101.79"
"Marilyn","Ross","marilyn.ross@sakilacustomer.org","1888 Kabul Drive","","Ife","20936","Nigeria","Yes","137.70"
"Mario","Cheatham","mario.cheatham@sakilacustomer.org","1924 Shimonoseki Drive","","Batna","52625","Algeria","Yes","107.73"
"Marion","Ocampo","marion.ocampo@sakilacustomer.org","1464 Kursk Parkway","","Weifang","17381","China","Yes","107.73"
"Marion","Snyder","marion.snyder@sakilacustomer.org","1891 Rizhao Boulevard","","Santa Brbara dOeste","47288","Brazil","Yes","194.61"
"Marjorie","Tucker","marjorie.tucker@sakilacustomer.org","1050 Garden Grove Avenue","","Jastrzebie-Zdrj","4999","Poland","Yes","118.70"
"Mark","Rinehart","mark.rinehart@sakilacustomer.org","780 Kimberley Way","","Tabuk","17032","Saudi Arabia","Yes","81.80"
"Marlene","Welch","marlene.welch@sakilacustomer.org","1148 Saarbrcken Parkway","","Iwaki","1921","Japan","Yes","106.77"
"Marsha","Douglas","marsha.douglas@sakilacustomer.org","771 Yaound Manor","","Beira","86768","Mozambique","Yes","142.66"
"Marshall","Thorn","marshall.thorn@sakilacustomer.org","1584 Ljubertsy Lane","","Southampton","22954","United Kingdom","Yes","117.77"
"Martha","Gonzalez","martha.gonzalez@sakilacustomer.org","269 Cam Ranh Parkway","","Chisinau","34689","Moldova","Yes","127.66"
"Martin","Bales","martin.bales@sakilacustomer.org","368 Hunuco Boulevard","","Namibe","17165","Angola","Yes","93.75"
"Marvin","Yee","marvin.yee@sakilacustomer.org","126 Acua Parkway","","Berhampore (Baharampur)","58888","India","Yes","65.81"
"Mary","Smith","mary.smith@sakilacustomer.org","1913 Hanoi Way","","Sasebo","35200","Japan","Yes","114.70"
"Mathew","Bolin","mathew.bolin@sakilacustomer.org","163 Augusta-Richmond County Loop","","Valencia","33030","Venezuela","Yes","84.80"
"Matthew","Mahan","matthew.mahan@sakilacustomer.org","479 San Felipe del Progreso Avenue","","Cuautla","54949","Mexico","Yes","91.75"
"Mattie","Hoffman","mattie.hoffman@sakilacustomer.org","1497 Yuzhou Drive","","London","3433","United Kingdom","Yes","58.80"
"Maureen","Little","maureen.little@sakilacustomer.org","201 Effon-Alaiye Way","","Asuncin","64344","Paraguay","Yes","87.79"
"Maurice","Crawley","maurice.crawley@sakilacustomer.org","1785 So Bernardo do Campo Street","","Coatzacoalcos","71182","Mexico","No","125.74"
"Max","Pitt","max.pitt@sakilacustomer.org","1917 Kumbakonam Parkway","","Novi Sad","11892","Yugoslavia","Yes","102.77"
"Maxine","Silva","maxine.silva@sakilacustomer.org","1338 Zalantun Lane","","Poos de Caldas","45403","Brazil","Yes","107.70"
"Megan","Palmer","megan.palmer@sakilacustomer.org","1560 Jelets Boulevard","","Laiwu","77777","China","Yes","81.75"
"Melanie","Armstrong","melanie.armstrong@sakilacustomer.org","1166 Changhwa Street","","Bayugan","58852","Philippines","Yes","92.75"
"Melinda","Fernandez","melinda.fernandez@sakilacustomer.org","1820 Maring Parkway","","Mandi Bahauddin","88307","Pakistan","Yes","77.84"
"Melissa","King","melissa.king@sakilacustomer.org","1668 Anpolis Street","","Lungtan","50199","Taiwan","Yes","123.66"
"Melvin","Ellington","melvin.ellington@sakilacustomer.org","1557 Cape Coral Parkway","","Laohekou","46875","China","Yes","96.75"
"Michael","Silverman","michael.silverman@sakilacustomer.org","1908 Gaziantep Place","","Tiefa","58979","China","Yes","113.74"
"Micheal","Forman","micheal.forman@sakilacustomer.org","203 Tambaram Street","","Escobar","73942","Argentina","Yes","96.76"
"Michele","Grant","michele.grant@sakilacustomer.org","798 Cianjur Avenue","","Yuncheng","76990","China","Yes","110.73"
"Michelle","Clark","michelle.clark@sakilacustomer.org","262 A Corua (La Corua) Parkway","","Tangail","34418","Bangladesh","Yes","146.68"
"Miguel","Betancourt","miguel.betancourt@sakilacustomer.org","319 Springs Loop","","Erlangen","99552","Germany","Yes","127.73"
"Mike","Way","mike.way@sakilacustomer.org","990 Etawah Loop","","Valparai","79940","India","Yes","162.67"
"Mildred","Bailey","mildred.bailey@sakilacustomer.org","81 Hodeida Way","","Jaipur","55561","India","Yes","88.78"
"Milton","Howland","milton.howland@sakilacustomer.org","758 Korolev Parkway","","Vijayawada","75474","India","Yes","121.77"
"Minnie","Romero","minnie.romero@sakilacustomer.org","47 Syktyvkar Lane","","Ciomas","22236","Indonesia","Yes","108.72"
"Miriam","Mckinney","miriam.mckinney@sakilacustomer.org","1336 Benin City Drive","","Otsu","46044","Japan","Yes","117.77"
"Misty","Lambert","misty.lambert@sakilacustomer.org","1192 Tongliao Street","","Sharja","19065","United Arab Emirates","Yes","102.78"
"Mitchell","Westmoreland","mitchell.westmoreland@sakilacustomer.org","617 Klerksdorp Place","","Nha Trang","94707","Vietnam","Yes","127.69"
"Monica","Hicks","monica.hicks@sakilacustomer.org","1752 So Leopoldo Parkway","","Mukateve","14014","Ukraine","Yes","112.73"
"Morris","Mccarter","morris.mccarter@sakilacustomer.org","1568 Celaya Parkway","","Fengshan","34750","Taiwan","Yes","135.68"
"Myrtle","Fleming","myrtle.fleming@sakilacustomer.org","532 Toulon Street","","Santiago de los Caballeros","69517","Dominican Republic","Yes","110.76"
"Nancy","Thomas","nancy.thomas@sakilacustomer.org","808 Bhopal Manor","","Yamuna Nagar","10672","India","Yes","93.74"
"Naomi","Jennings","naomi.jennings@sakilacustomer.org","1884 Shikarpur Avenue","","Karnal","85548","India","Yes","116.73"
"Natalie","Meyer","natalie.meyer@sakilacustomer.org","1201 Qomsheh Manor","","Aparecida de Goinia","21464","Brazil","Yes","90.78"
"Nathan","Runyon","nathan.runyon@sakilacustomer.org","264 Bhimavaram Manor","","Charlotte Amalie","54749","Virgin Islands, U.S.","No","121.69"
"Nathaniel","Adam","nathaniel.adam@sakilacustomer.org","786 Matsue Way","","Joliet","37469","United States","Yes","117.75"
"Neil","Renner","neil.renner@sakilacustomer.org","1817 Livorno Way","","Cam Ranh","79401","Vietnam","Yes","149.69"
"Nellie","Garrett","nellie.garrett@sakilacustomer.org","1964 Gijn Manor","","Shimoga","14408","India","Yes","86.81"
